celda,x,y,era,amb,uni,prospcorr_mesozoico,incert_mesozoico
450754,180580.530146021,-194506.890536134,Mesozoico,Transicional,Formación Mainique - Miembro Medio,0.870316565036774,0.0932304204398443
451343,-33502.8962355661,-196506.425991364,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.978108644485474,0.0593442322650576
452040,-31502.1165497568,-198505.961446594,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.963743031024933,0.0875689234858577
452725,-53510.6930936583,-200505.496901824,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.940736889839172,0.0569994168846232
456906,-43506.7946646122,-212502.709633205,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.925146460533142,0.0776639794379844
457028,200588.327004113,-212502.709633205,Cenozoico,Continental,Depósito aluvial,0.891255497932434,0.0143831854178042
457599,-49509.1337220398,-214502.245088435,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.949069261550903,0.0305910294660886
458993,-45507.5743504214,-218501.315998896,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.873424291610718,0.0557060977046561
458998,-35503.6759213753,-218501.315998896,Cenozoico,Continental,Depósito aluvial,0.92067289352417,0.0923251431464865
459693,-37504.4556071845,-220500.851454126,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.953686475753784,0.0601365383008035
459694,-35503.6759213753,-220500.851454126,Cenozoico,Continental,Depósito aluvial,0.870192766189575,0.0871935992143207
461092,-23498.99780652,-224499.922364586,Cenozoico,Continental,Depósito aluvial,0.925682783126831,0.076201197156599
463175,-33502.8962355661,-230498.528730276,Cenozoico,Continental,Depósito aluvial,0.904765963554382,0.0737828719531217
465260,-39505.2352929937,-236497.135095967,Mesozoico,Marino,Grupo Pucará - Formación Condorsinga,0.954851806163788,0.0562071388114081
465269,-21498.2181207107,-236497.135095967,Cenozoico,Continental,Depósito aluvial,0.875768184661865,0.074543497042014
465965,-21498.2181207107,-238496.670551197,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.948752820491791,0.0363734013781089
465966,-19497.4384349015,-238496.670551197,Cenozoico,Continental,Depósito aluvial,0.925008296966553,0.040258992719729
465972,-7492.76032004616,-238496.670551197,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.990919351577759,0.00659329012836828
466662,-19497.4384349015,-240496.206006427,Mesozoico,Marino,Grupo Pucará - Formación Chambará - Miembro superior,0.949666559696198,0.0532533604210012
467353,-29501.3368639476,-242495.741461657,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.93952888250351,0.0609610539715078
469426,-59513.032151086,-248494.347827348,Cenozoico,Continental,Depósito aluvial,0.94712620973587,0.0808853732979015
471541,-5491.98063423694,-254492.954193038,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.910975635051727,0.0401978652972435
472936,510.358423190728,-258492.025103499,Mesozoico,Marino,Grupo Pucará - Formación Chambará - Miembro superior,0.981832504272461,0.0221400066121914
477810,4511.91779480917,-272488.77329011,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.969878375530243,0.0940583527896361
477811,6512.6974806184,-272488.77329011,Mesozoico,Marino,Grupo Pucará - Formación Condorsinga,0.965759813785553,0.0765918232598671
481273,-29501.3368639476,-282486.45056626,Cenozoico,Sin dato,Formación Chaucha - Miembro Inferior,0.901887953281403,0.0262099556890163
481994,20518.155281283,-284485.986021491,Mesozoico,Continental,Grupo Mitu - Miembro Sedimentario,0.918995141983032,0.0864712659521004
482688,16516.5959096645,-286485.521476721,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.974847972393036,0.0568795653590798
483385,18517.3755954737,-288485.056931951,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.987447679042816,0.0341670679608449
484795,54531.4099400398,-292484.127842411,Mesozoico,Continental,Grupo Mitu - Miembro Sedimentario,0.974585711956024,0.0451607137166482
484797,58532.9693116582,-292484.127842411,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.982809007167816,0.0333017031762782
485477,26520.4943387106,-294483.663297641,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.98528003692627,0.0568721560781502
485492,56532.189625849,-294483.663297641,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.9631627202034,0.0859832460450855
486868,24519.7146529014,-298482.734208102,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.990521788597107,0.0877974541451682
486869,26520.4943387106,-298482.734208102,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.991321265697479,0.0169847032760139
486870,28521.2740245199,-298482.734208102,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.977444410324097,0.0766498319531419
486871,30522.0537103291,-298482.734208102,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.9812331199646,0.0768288072248737
486872,32522.8333961383,-298482.734208102,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.936922073364258,0.0929067574175507
487564,24519.7146529014,-300482.269663332,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.991924941539764,0.0107691883729576
488955,22518.9349670922,-304481.340573792,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.925728499889374,0.0842928611237868
489651,22518.9349670922,-306480.876029022,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.909250199794769,0.0564849426631932
489659,38525.172453566,-306480.876029022,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.935281932353973,0.0663637653049734
491042,20518.155281283,-310479.946939482,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.952198386192322,0.0782200713406289
492433,18517.3755954737,-314479.017849943,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.988289833068848,0.0356586576451475
493057,-125538.76178279,-316478.553305173,Mesozoico,Marino,Formación Atocongo,0.928439319133759,0.058463638528627
493129,18517.3755954737,-316478.553305173,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.991150498390198,0.00622151653494172
493133,26520.4943387106,-316478.553305173,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.954118490219116,0.0394672029554252
493829,26520.4943387106,-318478.088760403,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.944077789783478,0.067169668319291
495220,24519.7146529014,-322477.159670863,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.957998096942902,0.0286732720211324
495221,26520.4943387106,-322477.159670863,Mesozoico,Marino,Grupo Pucará - Formación Chambará,0.929522216320038,0.0219295067938477
496544,-111533.303982126,-326476.230581324,Mesozoico,Marino,Formación Atocongo,0.906636893749237,0.0141896579505071
496640,80541.5458555597,-326476.230581324,Cenozoico,Continental,Depósito aluvial,0.944315850734711,0.087868458896678
496641,82542.3255413689,-326476.230581324,Cenozoico,Continental,Depósito aluvial,0.938765943050385,0.0338380358761598
497336,80541.5458555597,-328475.766036554,Cenozoico,Continental,Depósito aluvial,0.940174877643585,0.0906583662434742
497628,664769.214111853,-328475.766036554,Cenozoico,Continental,Depósito aluvial,0.8844975233078,0.0144672881123567
500732,-87523.9477524151,-338473.443312705,Cenozoico,Continental,Depósito aluvial,0.935506343841553,0.00787361984029338
502123,-89524.7274382243,-342472.514223165,Cenozoico,Continental,Depósito aluvial,0.906911909580231,0.0035446274816556
509163,70537.6474265135,-362467.868775466,Cenozoico,Continental,Depósito aluvial,0.974472045898438,0.0790121052950453
509364,472694.364274167,-362467.868775466,Cenozoico,Continental,Depósito aluvial,0.877111732959747,0.0157896689916291
510471,-97527.8461814612,-366466.939685927,Mesozoico,Marino,Formación Atocongo,0.915035307407379,0.0705003830472523
510673,306629.650352002,-366466.939685927,Cenozoico,Continental,Formación San Sebastián,0.901020407676697,0.0875395014582117
512643,70537.6474265135,-372465.546051617,Cenozoico,Continental,Depósito aluvial,0.88570898771286,0.0662163024928096
513960,-79520.8290091782,-376464.616962077,Mesozoico,Marino,Formación Atocongo,0.885600507259369,0.0174733145326054
513967,-65515.3712085136,-376464.616962077,Mesozoico,Marino,Formación Huaranguillo - Miembro Superior,0.901495754718781,0.0144883064333054
513968,-63514.5915227044,-376464.616962077,Mesozoico,Marino,Formación Huaranguillo - Miembro Superior,0.942531645298004,0.0589430097521952
514662,-67516.1508943229,-378464.152417308,Mesozoico,Marino,Formación Huaranguillo - Miembro Superior,0.900124430656433,0.00684654609337273
514663,-65515.3712085136,-378464.152417308,Mesozoico,Marino,Formación Huaranguillo - Miembro Superior,0.964507043361664,0.0850544276420075
515345,-93526.2868098427,-380463.687872538,Mesozoico,Marino,Formación Atocongo,0.926097095012665,0.0186770346682407
515355,-73518.4899517505,-380463.687872538,Mesozoico,Marino,Formación Huaranguillo - Miembro Medio,0.960055649280548,0.0325605999674088
515356,-71517.7102659413,-380463.687872538,Mesozoico,Marino,Formación Huaranguillo - Miembro Medio,0.949697971343994,0.0411281633315886
515360,-63514.5915227044,-380463.687872538,Mesozoico,Marino,Formación Huaranguillo - Miembro Superior,0.872048914432526,0.0691393825652722
516057,-61513.8118368952,-382463.223327768,Mesozoico,Marino,Formación Huaranguillo - Miembro Superior,0.891666650772095,0.0377719779820388
516058,-59513.032151086,-382463.223327768,Mesozoico,Marino,Formación Huaranguillo - Miembro Superior,0.871278285980225,0.0340261608618749
516739,-89524.7274382243,-384462.758782998,Mesozoico,Marino,Formación Huaranguillo - Miembro Medio,0.877827405929565,0.010101988911921
516754,-59513.032151086,-384462.758782998,Mesozoico,Marino,Formación Huaranguillo - Miembro Superior,0.880410611629486,0.0282429780554179
516938,308630.430037811,-384462.758782998,Cenozoico,Continental,Formación San Sebastián,0.91348534822464,0.0758049942167852
517435,-89524.7274382243,-386462.294238228,Mesozoico,Marino,Formación Huaranguillo - Miembro Medio,0.886004865169525,0.0057916214559417
517449,-61513.8118368952,-386462.294238228,Mesozoico,Marino,Formación Huaranguillo - Miembro Superior,0.927020668983459,0.0111568530110203
518136,-79520.8290091782,-388461.829693458,Mesozoico,Marino,Formación Huaranguillo - Miembro Medio,0.906540215015411,0.0109202723530789
518837,-69516.9305801321,-390461.365148688,Mesozoico,Marino,Formación Huaranguillo - Miembro Medio,0.915943562984467,0.0518436578566779
519557,-21498.2181207107,-392460.900603919,Cenozoico,Continental,Depósito coluvial,0.879409849643707,0.0357844024327106
519629,122557.919257553,-392460.900603919,Mesozoico,Continental,Grupo Mitu - Miembro Sedimentario,0.874452412128449,0.0501489558945203
519692,248607.039463534,-392460.900603919,Cenozoico,Continental,Depósito aluvial,0.937054455280304,0.0450772069115882
519734,332639.786267522,-392460.900603919,Cenozoico,Continental,Formación San Sebastián,0.87359231710434,0.0455438314963038
