design,rep,fold,model,AUC,TSS,PR_AUC,Boyce
Mesozoic,1,2,Geological baseline,0.77908713206078,0.41219173792495,0.00196827482123886,0.962351520069081
Mesozoic,1,2,MaxEnt,0.801368250463436,0.498305115738995,0.00225851014206005,0.778498944161523
Mesozoic,1,2,Random forest,0.805592318048517,0.55607746866807,0.002952329324357,0.666666666666667
Mesozoic,1,2,Gradient boosting,0.852218587878359,0.626355164539775,0.0155674804569291,0.755254912049361
Mesozoic,1,3,Geological baseline,0.819065047876994,0.509708903691775,0.00141388900920469,0.881680613267819
Mesozoic,1,3,MaxEnt,0.872786974390078,0.698355067083564,0.00311732539195816,0.784986435362869
Mesozoic,1,3,Random forest,0.857278453435397,0.626325201041547,0.00805713785312933,0.915385729888094
Mesozoic,1,3,Gradient boosting,0.833630669162475,0.575318686145126,0.00576560010902229,0.934725166745553
Mesozoic,1,4,Geological baseline,0.668952540590285,0.477604680207717,0.000303651284006854,0.465369345199037
Mesozoic,1,4,MaxEnt,0.772273713271544,0.547048576875041,0.000384292723071253,0.756644449203734
Mesozoic,1,4,Random forest,0.834322618812857,0.700026293301781,0.000323961401139354,0.791039852105473
Mesozoic,1,4,Gradient boosting,0.7465062775258,0.489032406494446,0.000259413645326255,0.546230993599135
Mesozoic,1,5,Geological baseline,0.750749828583249,0.434777149710773,0.00177168120200484,0.828283210838796
Mesozoic,1,5,MaxEnt,0.86655328262547,0.653265728524386,0.00338017474587763,0.898646375530978
Mesozoic,1,5,Random forest,0.819433147892542,0.553830818582555,0.00794502838129726,0.862290908577547
Mesozoic,1,5,Gradient boosting,0.845737904957445,0.601180147407766,0.00496444434705627,0.871967429646319
Mesozoic,2,1,Geological baseline,0.662705282664583,0.345839293350833,0.000799435648963167,0.661093652917021
Mesozoic,2,1,MaxEnt,0.80406067666475,0.533898613343558,0.00179126778083596,0.924506702884387
Mesozoic,2,1,Random forest,0.80645353152542,0.491215548641116,0.007268186786786,0.678571428571428
Mesozoic,2,1,Gradient boosting,0.839603763290225,0.564244318935897,0.0198268467983934,0.893282172853095
Mesozoic,2,2,Geological baseline,0.77908713206078,0.41219173792495,0.00196827482123886,0.962351520069081
Mesozoic,2,2,MaxEnt,0.797847432225582,0.443296235596912,0.00358931554541004,0.916248050208288
Mesozoic,2,2,Random forest,0.830675767002748,0.572672019895176,0.00445557447542213,0.864530967116533
Mesozoic,2,2,Gradient boosting,0.844847803279138,0.613957251887459,0.0108818387232123,0.512511804906336
Mesozoic,2,3,Geological baseline,0.819065047876994,0.509708903691775,0.00141388900920469,0.881680613267819
Mesozoic,2,3,MaxEnt,0.877210411285516,0.698355067083564,0.00287627754296631,0.784986435362869
Mesozoic,2,3,Random forest,0.852006232549385,0.595317222123459,0.0115063543865557,0.847579379526013
Mesozoic,2,3,Gradient boosting,0.847543057922972,0.595317222123459,0.00931086548767705,0.898646375530978
Mesozoic,2,4,Geological baseline,0.668952540590285,0.477604680207717,0.000303651284006854,0.465369345199037
Mesozoic,2,4,MaxEnt,0.760283967659239,0.547048576875041,0.000368163916838516,0.574163398835812
Mesozoic,2,4,Random forest,0.838031617695392,0.671530927496221,0.000341430366992214,0.913223320977314
Mesozoic,2,4,Gradient boosting,0.765430881482942,0.571041214750542,0.000260404221819866,0.589076733870508
Mesozoic,2,5,Geological baseline,0.750749828583249,0.434777149710773,0.00177168120200484,0.828283210838796
Mesozoic,2,5,MaxEnt,0.868293199894277,0.628258248327224,0.00367826347192933,0.956717261205505
Mesozoic,2,5,Random forest,0.827410889890221,0.560527457111763,0.00818738902575779,0.928571428571429
Mesozoic,2,5,Gradient boosting,0.834990468334825,0.550984725926853,0.00505223851682931,0.851997954563132
Mesozoic,3,1,Geological baseline,0.662705282664583,0.345839293350833,0.000799435648963167,0.661093652917021
Mesozoic,3,1,MaxEnt,0.801993718018669,0.55323757981508,0.00157006138293929,0.924506702884387
Mesozoic,3,1,Random forest,0.819023884309302,0.516225502484774,0.00847088728243129,0.607142857142857
Mesozoic,3,1,Gradient boosting,0.84961831310614,0.611605935931655,0.00476137751644007,0.809258701410579
Mesozoic,3,2,Geological baseline,0.77908713206078,0.41219173792495,0.00196827482123886,0.962351520069081
Mesozoic,3,2,MaxEnt,0.79394260784363,0.463296555602033,0.00296045744455985,0.714619675697533
Mesozoic,3,2,Random forest,0.819731591895947,0.604704532415376,0.00410238525208768,0.707527552887687
