rep,departamento,n_test_pres,base_AUC,base_TSS,base_PR,base_Boyce,base_rhoVias,all_obs_AUC,all_obs_TSS,all_obs_PR,all_obs_Boyce,all_obs_rhoVias,all_neu_AUC,all_neu_TSS,all_neu_PR,all_neu_Boyce,all_neu_rhoVias
1,Cajamarca,21,0.634296513045599,0.335493085310203,0.00348085275470395,0.533333333333333,-0.0780475976844464,0.700218297511641,0.400633991709339,0.00706297582885383,0.542269254204905,-0.492589140842313,0.684240777510712,0.372330790399554,0.00703272362709336,0.457325574989328,-0.110923336420634
2,Cajamarca,21,0.634296513045599,0.335493085310203,0.00348085275470395,0.533333333333333,-0.0780475976844464,0.690290405359901,0.305831330337548,0.0077888657177399,0.75321558301958,-0.490730659798937,0.671311294573914,0.359546452084857,0.00642944712754181,0.526016021115928,-0.160381798778756
3,Cajamarca,21,0.634296513045599,0.335493085310203,0.00348085275470395,0.533333333333333,-0.0780475976844464,0.675648215882305,0.32706308565855,0.00640808933506247,0.71393064768013,-0.477517851755322,0.658579208323173,0.375378827463685,0.00679547216526501,0.356965323840065,-0.0783400882942227
4,Cajamarca,21,0.634296513045599,0.335493085310203,0.00348085275470395,0.533333333333333,-0.0780475976844464,0.672182162306522,0.291653603650678,0.00630974819148701,0.808780667012828,-0.558678445949725,0.646445117915491,0.384958372522381,0.00621868864349985,0.60314830579873,-0.126809205745356
5,Cajamarca,21,0.634296513045599,0.335493085310203,0.00348085275470395,0.533333333333333,-0.0780475976844464,0.692066975534423,0.38342564531299,0.00790475247679226,0.516984262113198,-0.52860518649592,0.656288826186412,0.335702093566029,0.00567656432189689,0.596993731249764,-0.125239603844452
6,Cajamarca,21,0.634296513045599,0.335493085310203,0.00348085275470395,0.533333333333333,-0.0780475976844464,0.684873608063074,0.361915212317553,0.00789584647590674,0.719101209402831,-0.547684626971346,0.647606274892303,0.333873271327551,0.00738520216802003,0.458734902135984,-0.136516635323404
7,Cajamarca,21,0.634296513045599,0.335493085310203,0.00348085275470395,0.533333333333333,-0.0780475976844464,0.704857119634003,0.404657400633992,0.00929670740147479,0.730821796785961,-0.526108670911037,0.683024465577501,0.416466367088167,0.00902057583278945,0.341720388298962,-0.174592377733848
8,Cajamarca,21,0.634296513045599,0.335493085310203,0.00348085275470395,0.533333333333333,-0.0780475976844464,0.669668257451725,0.314017487024071,0.00668945980231975,0.642228862990377,-0.488575757331408,0.651548402828578,0.344132093217682,0.00782813730905502,0.553911709406997,-0.135838298848781
9,Cajamarca,21,0.634296513045599,0.335493085310203,0.00348085275470395,0.533333333333333,-0.0780475976844464,0.695103401028785,0.410631553279688,0.0068214815051329,0.57902876590451,-0.527105944361405,0.681726872655914,0.341658828857073,0.00631430235383544,0.859855884500864,-0.105465096980677
10,Cajamarca,21,0.634296513045599,0.335493085310203,0.00348085275470395,0.533333333333333,-0.0780475976844464,0.684420756842117,0.338454035601073,0.00733609138740783,0.765345438543338,-0.532570643134579,0.682516459400146,0.393423206883339,0.00671163107933147,0.473706474937618,-0.139619771527034
1,Ancash,21,0.551424744470843,0.0779583180520787,0.00286229428579942,0.116666666666667,-0.0358461238773538,0.69795204609358,0.330218614960216,0.00642929971830777,0.766656531806935,-0.315083755884122,0.605286516883793,0.213033980195494,0.00418350314838379,0.582180075405766,-0.00826259958214894
2,Ancash,21,0.551424744470843,0.0779583180520787,0.00286229428579942,0.116666666666667,-0.0358461238773538,0.703681852247541,0.364889788932651,0.00595639266188294,0.858171852784604,-0.324382404279001,0.614181535992006,0.250968698674916,0.00348424600271147,0.764723391038789,-0.00648523128510092
3,Ancash,21,0.551424744470843,0.0779583180520787,0.00286229428579942,0.116666666666667,-0.0358461238773538,0.700561818655356,0.361876059721801,0.00876913718666874,0.686493064256827,-0.297716152591421,0.6057170496282,0.239540977681395,0.00377317789475394,0.68602321177817,-0.00865405637714005
4,Ancash,21,0.551424744470843,0.0779583180520787,0.00286229428579942,0.116666666666667,-0.0358461238773538,0.714907594916524,0.359989156953104,0.00598961500256585,0.789063442072148,-0.329834733776607,0.643040517914946,0.310249336926421,0.00390478607758523,0.597572084652722,-0.0335431358920354
5,Ancash,21,0.551424744470843,0.0779583180520787,0.00286229428579942,0.116666666666667,-0.0358461238773538,0.722928260488256,0.365012038971186,0.00693376972201296,0.754190571940156,-0.299074225876166,0.640813441125976,0.348689001217185,0.00370020701581009,0.780369037246026,-0.0171582933368396
6,Ancash,21,0.551424744470843,0.0779583180520787,0.00286229428579942,0.116666666666667,-0.0358461238773538,0.702602862776989,0.308994945226667,0.00614218172086256,0.842303087821108,-0.337670939536126,0.639216217796417,0.297944604786886,0.0042083532243914,0.830398873772291,-0.0441472980458156
7,Ancash,21,0.551424744470843,0.0779583180520787,0.00286229428579942,0.116666666666667,-0.0358461238773538,0.727509979323798,0.388510622465305,0.0156726359914867,0.698093752539648,-0.337452929212418,0.64959949824332,0.320045285666449,0.00508652356629945,0.46921626483187,-0.00547535957319927
8,Ancash,21,0.551424744470843,0.0779583180520787,0.00286229428579942,0.116666666666667,-0.0358461238773538,0.702363677918986,0.306735977123297,0.00576053747191636,0.903358550411809,-0.321567790849251,0.626297577854671,0.246822827802848,0.00370670790614983,0.835219311074222,-0.040197462814645
9,Ancash,21,0.551424744470843,0.0779583180520787,0.00286229428579942,0.116666666666667,-0.0358461238773538,0.72195557539904,0.35082571928202,0.00674906538435845,0.802606768791356,-0.314312496081778,0.633050563678982,0.310626717480161,0.00406933272223296,0.772889511740325,-0.00311766141588706
10,Ancash,21,0.551424744470843,0.0779583180520787,0.00286229428579942,0.116666666666667,-0.0358461238773538,0.716268290997614,0.321177427327667,0.00653574671971027,0.829916277706091,-0.352010646310272,0.63537065680162,0.275955543507726,0.00439795611404526,0.804448908966907,-0.0140671102293627
1,Junín,26,0.644432297036417,0.412839656520506,0.00547924808252503,0.547114989312058,-0.0840094744217818,0.764252253997689,0.444810788743504,0.00950961134443423,0.875427559273011,-0.534010801411185,0.693058448253195,0.412697808622968,0.00508839477578453,0.709509981970321,-0.157554293513425
2,Junín,26,0.644432297036417,0.412839656520506,0.00547924808252503,0.547114989312058,-0.0840094744217818,0.791213733644246,0.480456127483203,0.0130520194843242,0.801489638010292,-0.54734580375658,0.699524636558009,0.375713564118709,0.0077276948119956,0.664646502317824,-0.158967496616571
3,Junín,26,0.644432297036417,0.412839656520506,0.00547924808252503,0.547114989312058,-0.0840094744217818,0.748022778696522,0.423260287432276,0.0106073297889456,0.874654546739276,-0.5251573187668,0.653763120930522,0.342199403546889,0.00469730068997237,0.510640656691254,-0.159577450039746
4,Junín,26,0.644432297036417,0.412839656520506,0.00547924808252503,0.547114989312058,-0.0840094744217818,0.770389770344794,0.437368963680019,0.00897983725263398,0.862421616015649,-0.523347818407801,0.676569495090679,0.377692515274597,0.00505263193648095,0.500244319584578,-0.193128082052388
5,Junín,26,0.644432297036417,0.412839656520506,0.00547924808252503,0.547114989312058,-0.0840094744217818,0.764162301672421,0.448280872675943,0.0116902272755132,0.824712989561529,-0.551270676610013,0.624431743483646,0.280194573798964,0.00453285339292868,0.504675113015264,-0.169652310759846
6,Junín,26,0.644432297036417,0.412839656520506,0.00547924808252503,0.547114989312058,-0.0840094744217818,0.76368486240754,0.456210516118765,0.013201976051559,0.72234609191222,-0.527356780114654,0.664932777935387,0.366794445097944,0.00481964041827701,0.423344752206496,-0.166640294534329
